URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building,Price_per_sqm,province
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/10559550,10559550.0,apartment,apartment,159000.0,1.0,45.0,Zomerlaan 23,8434,Westende,Oostend,False,False,0.0,0.0,True,installed,2.0,False,True,GOOD,3533.33,West_Flanders
https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/10679506,10679506.0,house,house,99000.0,1.0,25.0,Chemin du Calvaire 22,4960,Malmedy,Verviers,False,False,0.0,0.0,True,semi equipped,2.0,False,True,GOOD,3960.0,Liege
https://www.immoweb.be/en/classified/house/for-sale/gesves/5340/10679505,10679505.0,house,house,269000.0,4.0,152.0,None None,5340,Gesves,Namur,False,True,0.0,164.0,True,installed,2.0,False,False,,1769.74,Namur
https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10679503,10679503.0,apartment,apartment,239000.0,2.0,53.0,None None,5000,Namur,Namur,False,True,0.0,0.0,True,installed,3.0,False,False,,4509.43,Namur
https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10679502,10679502.0,apartment,apartment,290000.0,2.0,97.0,Clos des Lavandières None,4000,ROCOURT,Liège,False,False,0.0,0.0,True,installed,2.0,True,False,GOOD,2989.69,Liege
https://www.immoweb.be/en/classified/house/for-sale/ciney/5590/10679498,10679498.0,house,house,305000.0,3.0,148.0,Rue de Bidet 52,5590,Ciney,Dinant,False,False,0.0,400.0,True,,4.0,False,False,AS_NEW,2060.81,Namur
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/10679483,10679483.0,apartment,apartment,347500.0,2.0,75.0,Goudbergstraat 42,8560,Wevelgem,Kortrijk,False,False,0.0,0.0,True,,2.0,False,False,GOOD,4633.33,West_Flanders
https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10679481,10679481.0,house,house,289000.0,3.0,120.0,Krapstraat 124,9200,Dendermonde,Dendermonde,False,False,0.0,1999.0,True,,3.0,False,False,TO_RENOVATE,2408.33,East_Flanders
https://www.immoweb.be/en/classified/exceptional-property/for-sale/rochefort/5580/10679476,10679476.0,house,exceptional property,1000000.0,8.0,680.0,None None,5580,Rochefort,Dinant,False,False,0.0,37914.0,True,installed,4.0,True,False,GOOD,1470.59,Namur
https://www.immoweb.be/en/classified/exceptional-property/for-sale/ciney/5590/10679475,10679475.0,house,exceptional property,1250000.0,10.0,600.0,None None,5590,Ciney,Dinant,False,False,0.0,4795.0,True,installed,4.0,True,False,AS_NEW,2083.33,Namur
https://www.immoweb.be/en/classified/exceptional-property/for-sale/grupont/6927/10679474,10679474.0,house,exceptional property,1000000.0,8.0,680.0,None None,6927,GRUPONT,Neufchâteau,False,False,0.0,37914.0,True,installed,4.0,True,False,GOOD,1470.59,Luxemburg
https://www.immoweb.be/en/classified/house/for-sale/z%C3%89trud-lumay/1370/10679473,10679473.0,house,house,575000.0,4.0,260.0,None None,1370,ZÉTRUD-LUMAY,Nivelles,True,True,0.0,2900.0,True,installed,4.0,True,False,,2211.54,Walloon_Brabant
https://www.immoweb.be/en/classified/duplex/for-sale/ucimont/6833/10679471,10679471.0,apartment,duplex,99000.0,2.0,100.0,Rue du Château-le-Duc 30,6833,Ucimont,Neufchâteau,False,True,0.0,0.0,True,installed,2.0,True,False,GOOD,990.0,Luxemburg
https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/10679467,10679467.0,house,house,99000.0,1.0,26.0,Chemin du Calvaire 22,4960,Malmedy,Verviers,False,False,0.0,0.0,True,,2.0,False,True,GOOD,3807.69,Liege
https://www.immoweb.be/en/classified/apartment/for-sale/neufch%C3%82teau/6840/10679466,10679466.0,apartment,apartment,219000.0,3.0,93.0,None None,6840,NEUFCHÂTEAU,Neufchâteau,False,False,0.0,0.0,True,installed,3.0,False,False,,2354.84,Luxemburg
https://www.immoweb.be/en/classified/house/for-sale/tenneville/6970/10679465,10679465.0,house,house,225463.0,3.0,120.0,None None,6970,Tenneville,Marche-en-Famenne,False,True,0.0,737.0,True,,3.0,False,False,,1878.86,Luxemburg
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10679463,10679463.0,apartment,apartment,169000.0,2.0,88.0,Torhoutsesteenweg 336,8400,Oostende,Oostend,False,False,0.0,0.0,True,,2.0,False,False,TO_BE_DONE_UP,1920.45,West_Flanders
